date,id,city,state,venue,song,encore
13-09-2022,A,San Francisco,CA,Masonic Auditorium,Shoot the Singer (1 Sick Verse),
13-09-2022,A,San Francisco,CA,Masonic Auditorium,In the Mouth a Desert,
13-09-2022,A,San Francisco,CA,Masonic Auditorium,Folk Jam,
13-09-2022,A,San Francisco,CA,Masonic Auditorium,Unfair,
13-09-2022,A,San Francisco,CA,Masonic Auditorium,Spit on a Stranger,
13-09-2022,A,San Francisco,CA,Masonic Auditorium,The Hexx,
13-09-2022,A,San Francisco,CA,Masonic Auditorium,Feed 'em to the (Linden) Lions,
13-09-2022,A,San Francisco,CA,Masonic Auditorium,Zurich Is Stained,
13-09-2022,A,San Francisco,CA,Masonic Auditorium,Grounded,
13-09-2022,A,San Francisco,CA,Masonic Auditorium,Summer Babe,
13-09-2022,A,San Francisco,CA,Masonic Auditorium,Spizzle Trunk,
13-09-2022,A,San Francisco,CA,Masonic Auditorium,Cut Your Hair,
13-09-2022,A,San Francisco,CA,Masonic Auditorium,Date w/ IKEA,
13-09-2022,A,San Francisco,CA,Masonic Auditorium,Stop Breathin,
13-09-2022,A,San Francisco,CA,Masonic Auditorium,Stereo,1
13-09-2022,A,San Francisco,CA,Masonic Auditorium,Give It a Day,1
13-09-2022,A,San Francisco,CA,Masonic Auditorium,Range Life,1
13-09-2022,A,San Francisco,CA,Masonic Auditorium,Blue Hawaiian,1
13-09-2022,A,San Francisco,CA,Masonic Auditorium,Harness Your Hopes,1
,A,Atlanta,,,Fin,
,A,Atlanta,,,Shady Lane,
,A,Atlanta,,,The Hexx,
,A,Atlanta,,,Date w/ IKEA,
,A,Atlanta,,,Spit on a Stranger,
,A,Atlanta,,,Harness Your Hopes,
,A,Atlanta,,,Silence Kid,
,A,Atlanta,,,Gold Soundz,
,A,Atlanta,,,Box Elder,
,A,Atlanta,,,Heckler Spray,
,A,Atlanta,,,Trigger Cut,
,A,Atlanta,,,Embassy Row,
,A,Atlanta,,,Fight This Generation,
,A,Atlanta,,,Cut Your Hair,
,A,Atlanta,,,Angel Carver Blues / Mellow Jazz Docent,
,A,Atlanta,,,Starlings of the Slipstream,
,A,Atlanta,,,Summer Babe,
,A,Atlanta,,,Frontwards,
,A,Atlanta,,,Stereo,
,A,Atlanta,,,Range Life,
,A,Atlanta,,,Type Slowly,
,A,Atlanta,,,Two States,
,A,Atlanta,,,Father to a Sister of Thought,
,A,Atlanta,,,Stop Breathin,
,B,Atlanta,,,Grounded,
,B,Atlanta,,,Stereo,
,B,Atlanta,,,Black Out,
,B,Atlanta,,,Grave Architecture,
,B,Atlanta,,,Heckler Spray,
,B,Atlanta,,,In the Mouth a Desert,
,B,Atlanta,,,Zurich Is Stained,
,B,Atlanta,,,Two States,
,B,Atlanta,,,Type Slowly,
,B,Atlanta,,,Harness Your Hopes,
,B,Atlanta,,,Half a Canyon,
,B,Atlanta,,,Spit on a Stranger,
,B,Atlanta,,,Unfair,
,B,Atlanta,,,Give It a Day,
,B,Atlanta,,,We Dance,
,B,Atlanta,,,Painted Soldiers,
,B,Atlanta,,,Serpentine Pad,
,B,Atlanta,,,Range Life,
,B,Atlanta,,,Perfume-V,
,B,Atlanta,,,Pueblo,
,B,Atlanta,,,Cut Your Hair,
,B,Atlanta,,,Home,
,B,Atlanta,,,Debris Slide,
,B,Atlanta,,,Here,
,B,Atlanta,,,Shoot the Singer (1 Sick Verse),
,B,Atlanta,,,Fillmore Jive,
